reduced_formula,likely_mpid,expt_gap_ev,n_measurements,gap_range_ev,is_metal_measured,selection_stratum,selection_role,hubbard_policy_differs,hubbard_explanation
CrB2(PbO2)6,mp-1197022,1.8,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Cr (Materials Project 3.7 eV, OQMD 3.5 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
CrO2,mp-19177,0.23,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Cr (Materials Project 3.7 eV, OQMD 3.5 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
CrO3,mp-510421,1.4,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Cr (Materials Project 3.7 eV, OQMD 3.5 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
CrPbO4,mp-19146,2.25,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Cr (Materials Project 3.7 eV, OQMD 3.5 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Cu2O,mp-361,2.58,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
Cu2Te3O8,mp-17598,2.64,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
Cu3Hg2(Te3O8)2,mp-1194777,2.56,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
CuBiSeO,mp-23116,0.82,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
CuHg(SeO3)2,mp-1194904,3.25,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
ErBiW2O9,mp-1198777,3.26,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to W (U = 6.2 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Fe2B(PO4)3,mp-1197728,3.52,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Fe (Materials Project 5.3 eV, OQMD 4.0 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Fe2O3,mp-19770,2.2,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Fe (Materials Project 5.3 eV, OQMD 4.0 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
FeBi(SeO3)3,mp-1197024,2.54,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Fe (Materials Project 5.3 eV, OQMD 4.0 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
GaCuO2,mp-4280,1.47,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
K2Mo2Se2O11,mp-1195788,3.3,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
KUClO3,mp-1095429,2.37,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to U (U minus J = 4.0 eV) and Materials Project does not.
KV4Ag11O16,mp-553910,2.0,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
La2Fe(SeO)2,mp-1078132,0.7,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Fe (Materials Project 5.3 eV, OQMD 4.0 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
La2Mn(SeO)2,mp-1196301,1.6,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Mn (Materials Project 3.9 eV, OQMD 3.8 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
La3Mo4O16F,mp-1198818,3.7,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
LaCuSO,mp-6088,3.1,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
LaCuSeO,mp-552488,2.83,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
LaCuTeO,mp-546790,2.31,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
LaVI5O16,mp-1202389,3.58,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Li2TeMoO6,mp-1203622,3.5,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Li2TeWO6,mp-1196881,4.0,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to W (U = 6.2 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
LiMoIO6,mp-558917,2.8,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Mn(PbO2)2,mp-21823,1.5,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Mn (Materials Project 3.9 eV, OQMD 3.8 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Mn(SbO2)2,mp-19231,2.65,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Mn (Materials Project 3.9 eV, OQMD 3.8 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
MnF2,mp-560902,9.9,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mn (U = 3.9 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
MnO,mp-19006,3.6,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Mn (Materials Project 3.9 eV, OQMD 3.8 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
MnO2,mp-510408,1.3,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Mn (Materials Project 3.9 eV, OQMD 3.8 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Na2Mo2Se2O11,mp-1195277,3.1,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Na3MoO4F,mp-1194849,4.77,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Na5Gd(MoO4)4,mp-556070,3.38,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Na7(CoO3)2,mp-19427,0.5,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Co (Materials Project 3.32 eV, OQMD 3.3 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Nb3CuO8,mp-27383,1.47,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
NbCuO3,mp-17272,2.0,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
NdCuSO,mp-542314,2.98,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
NdCuTeO,mp-974307,2.26,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
NdMoO4F,mp-1192562,3.66,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Ni2Te3O8,mp-17360,3.84,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Ni (Materials Project 6.2 eV, OQMD 6.4 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
NiO,mp-19009,4.0,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Ni (Materials Project 6.2 eV, OQMD 6.4 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
PrCuSO,mp-6166,3.03,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
PrMoO4F,mp-1192358,3.64,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Rb2Mo3Se3O16,mp-1194625,3.1,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Rb3Na(MoO4)2,mp-1104938,4.84,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Rb4Mo5(PO11)2,mp-1199088,3.51,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
RbMoPO6,mp-1198591,2.96,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
ScCuO2,mp-3642,3.3,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
SmBiW2O9,mp-1200917,3.39,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to W (U = 6.2 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
SmCuSeO,mp-9194,2.6,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
Sn2WO5,mp-557633,2.6,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to W (U = 6.2 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Sn3WO6,mp-556980,2.49,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to W (U = 6.2 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Sr2V3Se5O18,mp-1197632,2.47,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Sr4V2(Se2O7)3,mp-1204879,2.66,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Sr5V3O12F,mp-40674,4.5,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
SrCrO4,mp-510607,2.45,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Cr (Materials Project 3.7 eV, OQMD 3.5 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Ta2Mn3O8,mp-31909,1.89,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Mn (Materials Project 3.9 eV, OQMD 3.8 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Ta7Cu3O19,mp-28752,2.47,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
TbWClO4,mp-1103802,4.24,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to W (U = 6.2 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
ThSO,mp-8136,2.22,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Th (U minus J = 4.0 eV) and Materials Project does not.
ThSeO,mp-7950,1.65,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Th (U minus J = 4.0 eV) and Materials Project does not.
ThTeO,mp-3718,1.45,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Th (U minus J = 4.0 eV) and Materials Project does not.
Tl4CuTeO6,mp-1191858,2.2,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
UO2,mp-1597,2.18,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to U (U minus J = 4.0 eV) and Materials Project does not.
V2Pb4(Se2O7)3,mp-1203641,3.37,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
V2Zn3TeO10,mp-554700,2.96,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
V3As2O9,mp-1194395,0.76,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
VAg(IO4)2,mp-1198619,2.24,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
VGa(TeO4)2,mp-1195697,3.0,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
VO,mp-19184,0.3,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
VZn2BiO6,mp-1105584,2.4,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
YCuO2,mp-2918,3.5,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
YMoClO4,mp-560118,3.82,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
YMoO4F,mp-555913,3.78,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
YbWClO4,mp-1103822,4.23,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to W (U = 6.2 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Zn2MoSeO7,mp-1191333,4.2,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Zn2TeMoO7,mp-1192126,4.1,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Ag2PdO2,mp-5495,0.18,1,0.0,False,B_main_group_oxide,gapped semiconductor or insulator,False,"Neither database applies a Hubbard U correction to this composition, so +U is not an available explanation for any disagreement between them."
Ag5IO6,mp-554648,1.4,1,0.0,False,B_main_group_oxide,gapped semiconductor or insulator,False,"Neither database applies a Hubbard U correction to this composition, so +U is not an available explanation for any disagreement between them."
B3Pb3NO10,mp-1200969,3.64,1,0.0,False,B_main_group_oxide,gapped semiconductor or insulator,False,"Neither database applies a Hubbard U correction to this composition, so +U is not an available explanation for any disagreement between them."
Ba2Cd(BO2)6,mp-1190588,4.59,1,0.0,False,B_main_group_oxide,gapped semiconductor or insulator,False,"Neither database applies a Hubbard U correction to this composition, so +U is not an available explanation for any disagreement between them."
Ba3Bi2TeO9,mp-556407,2.3,1,0.0,False,B_main_group_oxide,gapped semiconductor or insulator,False,"Neither database applies a Hubbard U correction to this composition, so +U is not an available explanation for any disagreement between them."
